Place,No,Name,Cat,SubCat,Club,Time,Chip
1,103,Peter LYNCH,Novice Men (1), (1),Kilkenny City Harriers A.C.,00:16:33,00:16:33
2,105,Tom O'KEEFFE,Novice Men (2), (2),Kilkenny City Harriers A.C.,00:16:35,00:16:35
3,218,Padraig MORAN,Novice Men (3), (3),Mullingar Harriers A.C.,00:17:05,00:17:05
4,220,John FENLON,Novice Men (4), (4),St Abbans A.C,00:17:16,00:17:16
5,59,Rossa HURLEY,Novice Men (5), (5),Donore Harriers,00:17:19,00:17:19
6,630, ,Novice Men (6), (6),DSD A.C.,00:17:21,00:17:21
7,44,Alban COGHLAN,Novice Men (7), (7),Crusaders A.C.,00:17:26,00:17:26
8,86,Declan FAHEY,Novice Men (8), (8),Ferbane A.C.,00:17:33,00:17:33
9,45,Robert CROSS,Novice Men (9), (9),Crusaders A.C.,00:17:33,00:17:33
10,133,Thomas LUPTON,Novice Men (10), (10),Portlaoise A.C,00:17:36,00:17:36
11,142,David KIRWIN,Novice Men (11), (11),Raheny Shamrock A.C.,00:17:36,00:17:36
12,141,Des KENNEDY,Novice Men (12), (12),Raheny Shamrock A.C.,00:17:36,00:17:36
13,184,Micheal KELLY,Novice Men (13), (13),St. L. O'Toole A.C.,00:17:39,00:17:39
14,143,Ciaran MCCARTHY,Novice Men (14), (14),Raheny Shamrock A.C.,00:17:40,00:17:40
15,201,Paul MITCHELL,Novice Men (15), (15),Tullamore Harriers A.C.,00:17:43,00:17:43
16,192,Padraig BERRY,Novice Men (16), (16),Tullamore Harriers A.C.,00:17:44,00:17:44
17,32,Conor BURKE,Novice Men (17), (17),Celbridge A.C.,00:17:46,00:17:46
18,164,Clive QUINN,Novice Men (18), (18),Sli Cualann A.C.,00:17:52,00:17:52
19,125,Jonathan DALY,Novice Men (19), (19),Mullingar Harriers A.C.,00:17:53,00:17:53
20,216,Neil O'ROURKE,Novice Men (20), (20),Civil Service Harriers,00:17:55,00:17:55
21,207,John MCGRATH,Novice Men (21), (21),United Striders A.C.,00:17:56,00:17:56
22,87,Mick FOGARTY,Novice Men (22), (22),Ferbane A.C.,00:17:56,00:17:56
23,66,Stephen KELLY,Novice Men (23), (23),Drogheda & District A.C.,00:17:59,00:17:59
24,96,Eoin REIDY,Novice Men (24), (24),St Coca's A.C.,00:18:00,00:18:00
25,47,Michael KIELY,Novice Men (25), (25),Crusaders A.C.,00:18:02,00:18:02
25,219,Liam TYAS,Novice Men (26), (26),Mullingar Harriers A.C.,00:18:02,00:18:02
27,51,Michael O'CONOR,Novice Men (27), (27),Crusaders A.C.,00:18:03,00:18:03
28,72,Niall CORNYN,Novice Men (28), (28),Dunboyne A.C.,00:18:05,00:18:05
29,91,Michael MURPHY,Novice Men (29), (29),Ferbane A.C.,00:18:07,00:18:07
30,36,Ian MCMANUS,Novice Men (30), (30),Celbridge A.C.,00:18:07,00:18:07
31,159,Tim GRUMMELL,Novice Men (31), (31),Sli Cualann A.C.,00:18:07,00:18:07
32,127,Timmy MURPHY,Novice Men (32), (32),Mullingar Harriers A.C.,00:18:08,00:18:08
33,145,Wesley O'BRIEN,Novice Men (33), (33),Raheny Shamrock A.C.,00:18:11,00:18:11
34,25,Ieuan HOPKINS,Novice Men (34), (34),Brothers Pearse A.C.,00:18:12,00:18:12
35,197,David FOX,Novice Men (35), (35),Tullamore Harriers A.C.,00:18:13,00:18:13
36,211,Ray LONERGAN,Novice Men (36), (36),Kilkenny City Harriers A.C.,00:18:14,00:18:14
37,128,Andrew NEVIN,Novice Men (37), (37),Mullingar Harriers A.C.,00:18:15,00:18:15
38,74,Phelim GLYNN,Novice Men (38), (38),Dunboyne A.C.,00:18:17,00:18:17
39,190,Mark HACKETT,Novice Men (39), (39),St. Michael's AC,00:18:18,00:18:18
40,58,Philip HENNESSY,Novice Men (40), (40),Donore Harriers,00:18:22,00:18:22
41,50,John MULVIHILL,Novice Men (41), (41),Crusaders A.C.,00:18:22,00:18:22
42,83,Ciaran O'DWYER,Novice Men (42), (42),Dunshaughlin A.C.,00:18:23,00:18:23
42,179,Sean GEOGHEGAN,Novice Men (43), (43),St Abbans A.C,00:18:23,00:18:23
44,171,Conor MCCARTHY,Novice Men (44), (44),Sportsworld A.C.,00:18:25,00:18:25
45,395,James KEEGAN,Novice Men (45), (45),Mullingar Harriers A.C.,00:18:25,00:18:25
46,221,Colin COYNE,Novice Men (46), (46),St Abbans A.C,00:18:26,00:18:26
47,39,Pat FOLEY,Novice Men (47), (47),Croghan A.C.,00:18:27,00:18:27
48,9,Alessandro PORAZZINI,Novice Men (48), (48),Balbriggan & District,00:18:28,00:18:28
49,106,Thomas COUSINS,Novice Men (49), (49),Kilmore A.C.,00:18:30,00:18:30
50,88,Catch GRENNAN,Novice Men (50), (50),Ferbane A.C.,00:18:31,00:18:31
51,210,Alan O'CONNOR,Novice Men (51), (51),United Striders A.C.,00:18:31,00:18:31
52,63,Des TREMBLE,Novice Men (52), (52),Donore Harriers,00:18:33,00:18:33
53,126,Malcolm MCDONNELL,Novice Men (53), (53),Mullingar Harriers A.C.,00:18:37,00:18:37
54,144,Ian MCCONKEY,Novice Men (54), (54),Raheny Shamrock A.C.,00:18:39,00:18:39
55,183,Trevor CORCORAN,Novice Men (55), (55),St. L. O'Toole A.C.,00:18:41,00:18:41
56,224,James TYRELL,Novice Men (56), (56),St Abbans A.C,00:18:43,00:18:43
57,148,Aaron BROWNE,Novice Men (57), (57),Rathfarnham W.S.A.F. A.C.,00:18:43,00:18:43
58,54,John STONE,Novice Men (58), (58),D.M.P. A.C.,00:18:44,00:18:44
59,173,Stephen O'DONNELL,Novice Men (59), (59),Sportsworld A.C.,00:18:45,00:18:45
60,200,Fergal LEONARD,Novice Men (60), (60),Tullamore Harriers A.C.,00:18:45,00:18:45
61,62,Fergal SWAINE,Novice Men (61), (61),Donore Harriers,00:18:47,00:18:47
62,68,Shane LARKIN,Novice Men (62), (62),Drogheda & District A.C.,00:18:48,00:18:48
63,168,Justin MCKLEEVER,Novice Men (63), (63),Sportsworld A.C.,00:18:51,00:18:51
64,115,Gaetan LE PAGE,Novice Men (64), (64),Liffey Valley A.C.,00:18:52,00:18:52
65,104,Paul MORAN,Novice Men (65), (65),Kilkenny City Harriers A.C.,00:18:54,00:18:54
66,37,Andrew DOWSE,Novice Men (66), (66),Croghan A.C.,00:18:55,00:18:55
67,119,Allan CLARKE,Novice Men (67), (67),,00:18:57,00:18:57
68,138,Carl CONROY,Novice Men (68), (68),Raheny Shamrock A.C.,00:18:59,00:18:59
69,214,Brendan  DONAGHER,Novice Men (69), (69),Daingean Naomh Mhuire A.C,00:19:00,00:19:00
70,147,Ciaran  AYLWARD,Novice Men (70), (70),Rathfarnham W.S.A.F. A.C.,00:19:01,00:19:01
71,93,Robert  HEWSON,Novice Men (71), (71),Kildare A.C.,00:19:01,00:19:01
72,55,Patrick  BYRNE,Novice Men (72), (72),Donore Harriers,00:19:02,00:19:02
73,195,Mark  DONEGAN,Novice Men (73), (73),Tullamore Harriers A.C.,00:19:03,00:19:03
74,70,Patrick  O'GRADY,Novice Men (74), (74),Drogheda & District A.C.,00:19:06,00:19:06
75,170,Sadanand  MAGEE,Novice Men (75), (75),Sportsworld A.C.,00:19:06,00:19:06
76,217,Ian  MCCORMACK,Novice Men (76), (76),Mullingar Harriers A.C.,00:19:07,00:19:07
77,175,Derek  SEVILLE,Novice Men (77), (77),Sportsworld A.C.,00:19:07,00:19:07
78,65,Stephen  DUGGAN,Novice Men (78), (78),Drogheda & District A.C.,00:19:09,00:19:09
79,169,Damien  KELLY,Novice Men (79), (79),Sportsworld A.C.,00:19:10,00:19:10
80,89,Niall  KELLY,Novice Men (80), (80),Ferbane A.C.,00:19:12,00:19:12
81,188,Fintan  REDMOD,Novice Men (81), (81),St. L. O'Toole A.C.,00:19:13,00:19:13
82,75,Morgan  MCDONAGH,Novice Men (82), (82),Dunboyne A.C.,00:19:13,00:19:13
83,23,Padraig  FITZPATRICK,Novice Men (83), (83),Brothers Pearse A.C.,00:19:13,00:19:13
84,56,Alan  FARRELL,Novice Men (84), (84),Donore Harriers,00:19:16,00:19:16
85,27,John  KEHOE,Novice Men (85), (85),Brothers Pearse A.C.,00:19:18,00:19:18
86,5,Kevin  FOY,Novice Men (86), (86),Balbriggan & District,00:19:19,00:19:19
87,163,Stephen  O'KENNEDY,Novice Men (87), (87),Sli Cualann A.C.,00:19:21,00:19:21
88,152,Neil  SKELTON,Novice Men (88), (88),Rathfarnham W.S.A.F. A.C.,00:19:22,00:19:22
89,136,Richie  REID,Novice Men (89), (89),Portlaoise A.C,00:19:23,00:19:23
90,193,Darren  BUTLER,Novice Men (90), (90),Tullamore Harriers A.C.,00:19:24,00:19:24
91,31,Chris  TIGHE,Novice Men (91), (91),Brothers Pearse A.C.,00:19:25,00:19:25
92,139,Colm  DELANEY,Novice Men (92), (92),Raheny Shamrock A.C.,00:19:26,00:19:26
92,34,James  HOARE,Novice Men (93), (93),Celbridge A.C.,00:19:26,00:19:26
94,135,Trevor  MCCORMACK,Novice Men (94), (94),Portlaoise A.C,00:19:27,00:19:27
95,111,Aodhagan  COLLINS,Novice Men (95), (95),Liffey Valley A.C.,00:19:28,00:19:28
96,129,Enda  O'CAROLAN,Novice Men (96), (96),Mullingar Harriers A.C.,00:19:29,00:19:29
97,29,Conor  O'ROURKE,Novice Men (97), (97),Brothers Pearse A.C.,00:19:32,00:19:32
98,69,Robert  MAHER,Novice Men (98), (98),Drogheda & District A.C.,00:19:38,00:19:38
99,110,Matthew  BLYTH,Novice Men (99), (99),Liffey Valley A.C.,00:19:38,00:19:38
100,48,Michael  MAUGHAN,Novice Men (100), (100),Crusaders A.C.,00:19:38,00:19:38
101,182,James  NOLAN,Novice Men (101), (101),St Abbans A.C,00:19:40,00:19:40
102,17,Ramunas  MESKAUSKAS,Novice Men (102), (102),Bohermeen A.C.,00:19:43,00:19:43
103,194,Michael  CONNEELY,Novice Men (103), (103),Tullamore Harriers A.C.,00:19:44,00:19:44
104,30,Stephen  O'SULLIVAN,Novice Men (104), (104),Brothers Pearse A.C.,00:19:47,00:19:47
105,176,Liam  BYRNE,Novice Men (105), (105),St Abbans A.C,00:19:50,00:19:50
106,120,Andrew  LINSLEY,Novice Men (106), (106),Meath,00:19:51,00:19:51
107,205,Ted  FLANNELLY,Novice Men (107), (107),United Striders A.C.,00:19:52,00:19:52
108,181,James  MOORE,Novice Men (108), (108),St Abbans A.C,00:19:57,00:19:57
109,101,Craig  BYRNE,Novice Men (109), (109),Kilkenny City Harriers A.C.,00:19:57,00:19:57
110,206,Matt  FLANNELLY,Novice Men (110), (110),United Striders A.C.,00:20:00,00:20:00
111,13,John  KIRWAN,Novice Men (111), (111),Ballyroan Abbeyleix & District,00:20:04,00:20:04
112,185,Patrick  KENNY,Novice Men (112), (112),St. L. O'Toole A.C.,00:20:08,00:20:08
113,80,Derek  HUNTER,Novice Men (113), (113),Dunshaughlin A.C.,00:20:11,00:20:11
114,117,John  PARKER,Novice Men (114), (114),Liffey Valley A.C.,00:20:13,00:20:13
115,81,David  MCCANN,Novice Men (115), (115),Dunshaughlin A.C.,00:20:14,00:20:14
116,64,Andrew  WILSON,Novice Men (116), (116),Donore Harriers,00:20:17,00:20:17
117,174,Diarmuid  O'SULLEABHAIN,Novice Men (117), (117),Sportsworld A.C.,00:20:18,00:20:18
118,28,David  MCNALLY,Novice Men (118), (118),Brothers Pearse A.C.,00:20:19,00:20:19
119,123,Sean  MCDAID,Novice Men (119), (119),Meath,00:20:27,00:20:27
120,98,Stephen  O'CONNOR,Novice Men (120), (120),Kilkenny,00:20:28,00:20:28
121,121,Daniel  DELANEY,Novice Men (121), (121),Meath,00:20:29,00:20:29
122,167,Anthony  GILLEN,Novice Men (122), (122),Sportsworld A.C.,00:20:30,00:20:30
123,82,Larkin  MICHAEL,Novice Men (123), (123),Dunshaughlin A.C.,00:20:32,00:20:32
124,73,Keith  EGLINGTON,Novice Men (124), (124),Dunboyne A.C.,00:20:33,00:20:33
125,134,Patrick  MARSHALL,Novice Men (125), (125),Portlaoise A.C,00:20:40,00:20:40
126,199,Keith  GORRY,Novice Men (126), (126),Tullamore Harriers A.C.,00:20:40,00:20:40
127,165,William  TYRRELL,Novice Men (127), (127),Sli Cualann A.C.,00:20:43,00:20:43
128,53,Alan  SHEEHY,Novice Men (128), (128),Crusaders A.C.,00:20:44,00:20:44
129,49,Brian  MCGUCKIN,Novice Men (129), (129),Crusaders A.C.,00:20:46,00:20:46
130,76,Warren  MCINTYRE,Novice Men (130), (130),Dunboyne A.C.,00:20:51,00:20:51
131,172,Denis  MCCALL,Novice Men (131), (131),Sportsworld A.C.,00:20:53,00:20:53
132,15,Anthony  CORRIGAN,Novice Men (132), (132),Bohermeen A.C.,00:20:55,00:20:55
133,52,William  OWENS,Novice Men (133), (133),Crusaders A.C.,00:20:59,00:20:59
134,6,Chris  KEELING,Novice Men (134), (134),Balbriggan & District,00:21:02,00:21:02
135,35,Karl  MCKENNA,Novice Men (135), (135),Celbridge A.C.,00:21:11,00:21:11
136,130,Gordon  WARD,Novice Men (136), (136),Mullingar Harriers A.C.,00:21:19,00:21:19
137,198,John Joe  GALVIN,Novice Men (137), (137),Tullamore Harriers A.C.,00:21:19,00:21:19
138,166,Karl  CHATTERTON,Novice Men (138), (138),Sportsworld A.C.,00:21:25,00:21:25
139,92,Keith  SHARKEY,Novice Men (139), (139),Ferbane A.C.,00:21:31,00:21:31
140,118,Conor  REILLY,Novice Men (140), (140),Liffey Valley A.C.,00:21:33,00:21:33
141,223,David  LAWLOR,Novice Men (141), (141),St Abbans A.C,00:21:40,00:21:40
142,180,Anthony  MCDONALD,Novice Men (142), (142),St Abbans A.C,00:21:45,00:21:45
143,61,Joe  MURPHY,Novice Men (143), (143),Donore Harriers,00:21:46,00:21:46
144,158,Tony  GARTLAND,Novice Men (144), (144),Sli Cualann A.C.,00:21:51,00:21:51
145,178,Francis  FLEMING,Novice Men (145), (145),St Abbans A.C,00:22:00,00:22:00
146,57,Des  GILL,Novice Men (146), (146),Donore Harriers,00:22:08,00:22:08
147,4,Tony Catalin  BAKAI,Novice Men (147), (147),Balbriggan & District,00:22:23,00:22:23
148,60,Ken  MCKEOWN,Novice Men (148), (148),Donore Harriers,00:22:28,00:22:28
149,14,Shaun  MAHER,Novice Men (149), (149),Ballyroan Abbeyleix & District,00:22:29,00:22:29
150,212,Brian  BETSON,Novice Men (150), (150),Daingean Naomh Mhuire A.C,00:22:34,00:22:34
151,24,Joe  HAUGH,Novice Men (151), (151),Brothers Pearse A.C.,00:22:54,00:22:54
