Place,No,Name,Cat,SubCat,Club,Time,Chip
1,5131,Elizabeth CARR,Novice Women (1), (1),Mullingar Harriers A.C.,00:12:58,00:12:58
2,5092,Laura BUCKLEY,Novice Women (2), (2),Dunboyne A.C.,00:13:08,00:13:08
3,5043,Noreen BROUDER,Novice Women (3), (3),Sportsworld A.C.,00:13:14,00:13:14
4,5052,Ciara HEWSON,Novice Women (4), (4),Le Cheile A.C.,00:13:18,00:13:18
5,5059,Sally FORRISTAL,Novice Women (5), (5),Kilkenny,00:13:24,00:13:24
6,5040,Clare SULLIVAN,Novice Women (6), (6),Rathfarnham W.S.A.F. A.C.,00:13:27,00:13:27
7,5081,Karen COSTELLO,Novice Women (7), (7),Dunleer A.C.,00:13:29,00:13:29
8,5111,Nadine DONEGAN,Novice Women (8), (8),Tullamore Harriers A.C.,00:13:40,00:13:40
9,5019,Alma HANEVY,Novice Women (9), (9),Donore Harriers,00:13:46,00:13:46
10,5358,Shona KEANE,Novice Women (10), (10),Sportsworld A.C.,00:13:49,00:13:49
11,5049,Sinead TANGNEY,Novice Women (11), (11),Sportsworld A.C.,00:13:49,00:13:49
12,5681,Susan MCMANUS,Novice Women (12), (12),Dublin City Harriers,00:13:51,00:13:51
13,5075,Pamela HOWARD,Novice Women (13), (13),Drogheda & District A.C.,00:13:53,00:13:53
14,5089,Nicola WELSH,Novice Women (14), (14),Dunleer A.C.,00:13:56,00:13:56
15,5041,Catherine BAMBRICK,Novice Women (15), (15),Sportsworld A.C.,00:13:59,00:13:59
16,5053,Ruth O'LOUGHLIN,Novice Women (16), (16),Naas A.C.,00:14:01,00:14:01
16,5146,Claire EARLS,Novice Women (17), (17),Sli Cualann A.C.,00:14:02,00:14:02
18,5103,Edel CARBERRY,Novice Women (18), (18),,00:14:03,00:14:03
19,5100,Eva MCNELIS,Novice Women (19), (19),Dunboyne A.C.,00:14:04,00:14:04
20,5067,Niamh QUINN,Novice Women (20), (20),Portlaoise A.C,00:14:05,00:14:05
21,5123,Nita MCLOUGHLIN,Novice Women (21), (21),Tullamore Harriers A.C.,00:14:08,00:14:08
22,5155,Laura MATHEWS,Novice Women (22), (22),North East Runners,00:14:10,00:14:10
23,5684,Olwen KENNEDY,Novice Women (23), (23),Dublin City Harriers,00:14:13,00:14:13
24,5010,Orla KENNEDY,Novice Women (24), (24),Crusaders A.C.,00:14:16,00:14:16
25,5128,Sinead RIGNEY,Novice Women (25), (25),Tullamore Harriers A.C.,00:14:18,00:14:18
26,5104,Linda FAHY,Novice Women (26), (26),Dunshaughlin A.C,00:14:20,00:14:20
27,5007,Niamh CORBY,Novice Women (27), (27),Crusaders A.C.,00:14:22,00:14:22
28,5686,Colette ENGLISH,Novice Women (28), (28),St Abbans A.C,00:14:27,00:14:27
29,5132,Breda DALY,Novice Women (29), (29),Mullingar Harriers A.C.,00:14:30,00:14:30
30,5119,Maeve LARKIN,Novice Women (30), (30),Tullamore Harriers A.C.,00:14:31,00:14:31
31,5149,Claire O'CALLAGHAN,Novice Women (31), (31),Sli Cualann A.C.,00:14:31,00:14:31
32,5147,Aisling KIRWAN,Novice Women (32), (32),Sli Cualann A.C.,00:14:32,00:14:32
33,5073,Pippa HACKETT,Novice Women (33), (33),St. Michael's AC,00:14:38,00:14:38
34,5682,Edel MCNAMARA,Novice Women (34), (34),Dublin City Harriers,00:14:45,00:14:45
35,5076,Michelle HUGHES,Novice Women (35), (35),Drogheda & District A.C.,00:14:46,00:14:46
36,5078,Mags NUGENT,Novice Women (36), (36),Drogheda & District A.C.,00:14:48,00:14:48
37,5120,Tara MCKINNEY,Novice Women (37), (37),Tullamore Harriers A.C.,00:14:49,00:14:49
38,5115,Brigid FOX,Novice Women (38), (38),Tullamore Harriers A.C.,00:14:51,00:14:51
39,5154,Dearbhla GREEN,Novice Women (39), (39),North East Runners,00:14:52,00:14:52
40,5060,Maire GRIFFITH,Novice Women (40), (40),Kilkenny,00:14:52,00:14:52
41,5061,Bronagh KEARNS,Novice Women (41), (41),,00:14:53,00:14:53
42,5045,Maria JONES,Novice Women (42), (42),Sportsworld A.C.,00:14:54,00:14:54
43,5125,Lynn MOONEY,Novice Women (43), (43),Tullamore Harriers A.C.,00:14:56,00:14:56
44,5031,Adrienne ATKINS,Novice Women (44), (44),Raheny Shamrock A.C.,00:14:57,00:14:57
45,5139,Elaine MCCABE,Novice Women (45), (45),Bree A.C.,00:14:58,00:14:58
46,5046,Kate KELLY,Novice Women (46), (46),Sportsworld A.C.,00:15:00,00:15:00
47,5090,Briget DALY,Novice Women (47), (47),Bohermeen A.C.,00:15:01,00:15:01
