Place,Name,Time,Bib,Cat,Club
1,Barbara CLEARY,17:56,5304,Senior Women,Donore Harriers
2,Fiona KEHOE,18:05,5345,Senior Women,Kilmore A.C.
3,Catherine MULLEN,18:12,5937,Senior Women,Metro St. Bridids A. C
4,Kate O'NEIL,18:24,5938,Senior Women,Metro St. Bridids A. C
5,Mary Ann O'SULLIVAN,18:34,5328,Senior Women,St Abbans A.C
6,Irene GORMAN,18:51,5302,Senior Women,Crusaders A.C.
7,Aileen GITTENS,18:57,5313,Senior Women,Liffey Valley A.C.
8,Sally FORRISTAL,18:57,5329,Senior Women,St. Joseph's A.C.
9,Ilona MCELROY,19:05,5301,Senior Women,Crusaders A.C.
10,Karen COSTELLO,19:08,5408,Senior Women,Dunleer A.C.
11,Eimear NIC AN BHAIRD,19:19,5315,Senior Women,Liffey Valley A.C.
12,SíLe CARROLL,19:23,5311,Senior Women,Liffey Valley A.C.
13,Nita MCLOUGHLIN,19:27,5356,Senior Women,Tullamore Harriers A.C.
14,Karen CROSSAN,19:31,5318,Senior Women,Raheny Shamrock A.C.
15,Nadine DONEGAN,19:37,5357,Senior Women,Tullamore Harriers A.C.
16,Ruth O'LOUGHLIN,19:40,5327,Senior Women,Naas A.C.
17,Nicola WELSH,19:53,5330,Senior Women,Dunleer A.C.
18,Andrea MCGUINESS,20:01,5334,Senior Women,Bohermeen A.C.
19,Niamh QUINN,20:07,5359,Senior Women,Portlaoise A.C
20,Ciara ROONEY,20:13,5341,Senior Women,Navan A.C.
21,Sarah FAY,20:14,5939,Senior Women,Metro St. Bridids A. C
22,Elaine CARDIFF,20:15,5346,Senior Women,Kilmore A.C.
23,Maeve LARKIN,20:28,5358,Senior Women,Tullamore Harriers A.C.
24,Tara MCKINNEY,20:36,5354,Senior Women,Tullamore Harriers A.C.
25,Claire O'CALLAGHAN,20:40,5350,Senior Women,Sli Cualann A.C.
26,Michelle MULLANEY,20:43,5353,Senior Women,Tullamore Harriers A.C.
27,Sharon KEHOE,20:55,5344,Senior Women,Kilmore A.C.
28,Mary HANLEY,21:01,5338,Senior Women,Na Fianna A.C.
29,Briget DALY,21:17,5335,Senior Women,Bohermeen A.C.
30,Christine STONE,21:56,5342,Senior Women,D.M.P. A.C.
31,Jean O'KENNEDY,22:03,5351,Senior Women,Sli Cualann A.C.
32,Ciara BRODERICK FARRELL,22:05,5310,Senior Women,Liffey Valley A.C.
33,Denise FITZGERALD,22:50,5312,Senior Women,Liffey Valley A.C.
34,Fidelma ROSSITER,23:20,5343,Senior Women,Kilmore A.C.
35,Dympna CONDRON,56:36,5355,Senior Women,Tullamore Harriers A.C.
