Place,No,Name,Cat,SubCat,Club,Time,Chip
1,220,Mark CHRISTIE,Senior Men (1), (1),,00:30:41,00:30:41
2,47,Michael CLOHISEY,Senior Men (2), (2),Raheny Shamrock A.C. (1) (A),00:30:53,00:30:53
3,21,Mark HANRAHAN,Senior Men (3), (3),Leevale A.C. (A),00:30:57,00:30:57
4,83,Liam BRADY,Senior Men (4), (4),Tullamore Harriers A.C. (B),00:31:15,00:31:15
5,243,Paul POLLOCK,Senior Men (5), (5),,00:31:17,00:31:17
6,50,Kevin DOONEY,Senior Men (6), (6),Raheny Shamrock A.C. (1) (A),00:31:20,00:31:20
7,170,Brian MAHER,Senior Men (7), (7),Kilkenny City Harriers A.C. (C),00:31:25,00:31:25
8,110,Shane QUINN,Senior Men (8), (8),Ferrybank A.C. (A),00:31:39,00:31:39
9,233,Kevin MAUNSELL,Senior Men (9), (9),,00:31:43,00:31:43
10,166,Eoin EVERARD,Senior Men (10), (10),Kilkenny City Harriers A.C. (C),00:31:47,00:31:47
11,49,Conor DOONEY,Senior Men (11), (11),Raheny Shamrock A.C. (1) (A),00:31:56,00:31:56
12,18,Sean MCGRATH,Senior Men (12), (12),East Cork A.C. (A),00:32:00,00:32:00
13,167,Thomas HAYES,Senior Men (13), (13),Kilkenny City Harriers A.C. (C),00:32:03,00:32:03
14,8,Sean HEHIR,Senior Men (14), (14),Rathfarnham W.S.A.F. A.C. (A),00:32:06,00:32:06
15,42,Eric KEOGH,Senior Men (15), (15),Donore Harriers (A),00:32:13,00:32:13
16,224,Conor DUFFY,Senior Men (16), (16),,00:32:16,00:32:16
17,23,Ben THISTLEWOOD,Senior Men (17), (17),Leevale A.C. (A),00:32:17,00:32:17
18,1,Dara CHESSER,Senior Men (18), (18),Ennis Track A.C. (C),00:32:24,00:32:24
19,51,Mark KIRWAN,Senior Men (19), (19),Raheny Shamrock A.C. (1) (A),00:32:25,00:32:25
20,16,Michael HARTY,Senior Men (20), (20),East Cork A.C. (A),00:32:26,00:32:26
21,13,Jake O'REGAN,Senior Men (21), (21),,00:32:27,00:32:27
22,6,Damien LANDERS,Senior Men (22), (22),Ennis Track A.C. (C),00:32:28,00:32:28
23,5,Karl FITZMAURICE,Senior Men (23),U23 Men (1),Ennis Track A.C. (C),00:32:30,00:32:30
24,199,Mitchell BYRNE,Senior Men (24),U23 Men (2),Rathfarnham W.S.A.F. A.C. (A),00:32:35,00:32:35
25,131,David FLYNN,Senior Men (25), (23),Clonliffe Harriers A.C. (1) (A),00:32:37,00:32:37
26,151,Daragh FITZGIBBON,Senior Men (26),U23 Men (3),Donore Harriers (A),00:32:40,00:32:40
27,78,Thomas MORAN,Senior Men (27), (24),,00:32:41,00:32:41
28,44,Robert CORBALLY,Senior Men (28), (25),Dundrum South Dublin A.C. (A),00:32:41,00:32:41
29,230,Seamus LYNCH,Senior Men (29), (26),Newcastle & District AC (C),00:32:44,00:32:44
30,209,Emmett DUNLEAVY,Senior Men (30), (27),Sligo A.C. (A),00:32:45,00:32:45
31,186,Cillian O'LEARY,Senior Men (31), (28),Raheny Shamrock A.C. (1) (A),00:32:48,00:32:48
32,24,Tim TWOMEY,Senior Men (32), (29),Leevale A.C. (A),00:32:49,00:32:49
33,53,Louis MCCARTHY,Senior Men (33), (30),Rathfarnham W.S.A.F. A.C. (A),00:32:57,00:32:57
34,231,Colin MAHER,Senior Men (34), (31),,00:32:58,00:32:58
35,43,John TRAVERS,Senior Men (35), (32),Donore Harriers (A),00:32:59,00:32:59
36,202,Paul STEPHENSON,Senior Men (36), (33),Rathfarnham W.S.A.F. A.C. (A),00:33:01,00:33:01
37,136,Killian LONERGAN,Senior Men (37), (34),Clonliffe Harriers A.C. (1) (A),00:33:02,00:33:02
38,4,Rory CHESSER,Senior Men (38), (35),Ennis Track A.C. (C),00:33:04,00:33:04
39,246,Eoghan TOTTEN,Senior Men (39), (36),Newcastle & District AC (C),00:33:05,00:33:05
40,48,Ian CONROY,Senior Men (40), (37),Raheny Shamrock A.C. (1) (A),00:33:13,00:33:13
41,81,Darragh RENNICKS,Senior Men (41), (38),,00:33:15,00:33:15
42,33,Christopher JOHNSTON,Senior Men (42), (39),,00:33:16,00:33:16
43,7,Peter ARTHUR,Senior Men (43), (40),Liffey Valley A.C. (A),00:33:17,00:33:17
44,219,Michael CARMODY,Senior Men (44), (41),,00:33:20,00:33:20
45,152,Ray HYNES,Senior Men (45), (42),Donore Harriers (A),00:33:24,00:33:24
46,227,Michael HERLIHY,Senior Men (46), (43),,00:33:24,00:33:24
46,205,John Paul CARTY,Senior Men (46), (43),Sligo A.C. (A),00:33:24,00:33:24
48,242,David O'FLAHERTY,Senior Men (48), (45),Newcastle & District AC (C),00:33:34,00:33:34
